index,sentences,abuse,sentiment,offensiveness
1,쯔양이 댓글 안달았으면 복귀해도 다들 뭐라안하지,NON,NEU,NOT
2,완벽하게 한글화되어 있습니다. 제가 처음으로 한 셜록 홈즈 시리즈이긴 한데 몰입도가 매우 좋았습니다. 다만 좀 뜬금없는 단서를 통해 스토리를 진행해야 하는 경우도 있으므로 정말 못 찾겠다 싶으면 빨리 구글검색을 통해 넘기는 것도 방법입니다.,NON,POS,NOT
3,대깨들 글 올리는 거 더 많이 올리게 해야한다. 보고 있으면 이게 인간인가 싶은 것들 천지다. 얘네들 보고 확신을 가지게 되었다. 대깨들과 대화하지 마라. 그저 대깨들이 더욱더 본색을 드러내게 해야한다. 그들이 쓴 가면을 스스로 벗게 해야한다. 온 나라 사람들이 그 본모습을 봐야한다. 그 소름끼치는 경악스런 얼굴.,NON,NEG,LIKELY
4,모던타임즈는 봐야한다 왜냐하면 찰리채플린 이니까...,NON,POS,NOT
5,주작시발좌 이거도 세로드립임??,ABS,NEU,OFFEN
6,일베하는새끼,ABS,NEG,OFFEN
7,머시베놈 싸이퍼 좆구리지않았음?,ABS,NEU,OFFEN
8,비작전상 후퇴갤,NON,NEU,NOT
9,마스크위에 바르면됨 하나도안불편,NON,NEU,NOT
10,대기업한테 광고비 받아 처묵은 놈들 아주  고소하다.  축구를 좋아하지만   일부러  정규방송채널안보고 다른 채널서  한국이 이기는 통쾌한  배구  봤다.   ~~~아주  멀었어 한국은~~~,ABS,NEG,OFFEN
11,쇼미9는 잘하는 애들이랑 좆밥들이랑 차이가 너무 심함,ABS,NEU,LIKELY
12,짤녀  커여우면  라면 물올림 ........gif,NON,NEU,LIKELY
13,ㅋㅋㅋㅋㅋ찰리의 사이렌,NON,POS,NOT
14,여친 친구는 자기가 좋아서 코스튬 고르고 해준다더라,NON,NEU,NOT
